# 원천 업태 → KSIC 세분류(4자리) → 우리 중분류 대조표
#
# 이 파일이 단일 원천이다. 생성기(backend-mydata)와 백엔드(IndustryCategoryMapper)가
# 같은 표를 읽는다. 코드에 카테고리 이름을 박지 않기 위해 데이터로 둔다(마스터 §4 원칙 4).
#
# source  : 원천 구분. sources.py의 리더와 짝을 이룬다
# label   : 원천이 실제로 갖고 있는 업태값 그대로. 임의로 고치면 매칭이 깨진다
# ksic    : KSIC 세분류 4자리. reference/업종코드.csv(502개)에 반드시 실재해야 한다
# mid     : 우리 중분류 15개 중 하나. DROP이면 상호를 쓰지 않는다
#
# source	label	ksic	mid

# ── 서울시 일반음식점 (업태구분명 28종) ─────────────────────────────────────
# 한식 계열. 냉면·탕류·복어·횟집은 전부 한식 음식점업에 속한다.
brand	디지털가전	4732	쇼핑
brand	의류패션	4741	쇼핑
brand	이커머스	4791	쇼핑
brand	서점문구	4761	취미/여가
brand	취미공예	4764	취미/여가
brand	스포츠레저	4763	취미/여가
brand	아웃도어캠핑	4763	취미/여가
brand	영화	5914	취미/여가
brand	스트리밍	6031	취미/여가
brand	공연전시	9011	취미/여가
brand	놀이공원	9121	취미/여가
brand	베이커리	5615	카페/간식
brand	카페	5622	카페/간식
brand	치킨	5616	식비
brand	피자	5616	식비
brand	패스트푸드	5616	식비
brand	배달	5619	식비
brand	휴게음식	5619	식비
brand	야식	5611	식비
brand	약국	4781	의료
brand	미용실	9611	미용
brand	헬스장	9113	건강/피트니스
brand	반려동물	7310	생활
brand	주유소	4771	교통/자동차
brand	철도	4910	교통/자동차
brand	대중교통	4921	교통/자동차
brand	고속버스	4922	교통/자동차
brand	택시	4923	교통/자동차
brand	항공	5110	교통/자동차
brand	통행료	5291	교통/자동차
brand	렌터카	7611	교통/자동차
brand	여행숙박	7521	여행/숙박
brand	공과금	3520	주거/통신
brand	통신비	6122	주거/통신
# 간편결제는 무엇을 샀는지 알 수 없는 결제다. 포털·정보매개 서비스로 두고 미분류로 보낸다.
brand	간편결제	6312	카테고리없음
