# 업종 이름 → 소분류. 이미 가진 업종 이름에서 뽑으므로 **새로 물어볼 것이 없다**.
# 중분류는 여기 안 적는다 — sub-mid.tsv 가 정한다. 두 곳에 적으면 갈라진다.
# 이름은 국세청 세세분류 정본이다(원천 CSV 의 세세분류 칸).
#
# 업종이름	소분류
기타 법무관련 서비스업	법률
기타 법무관련 서비스업(공증인)	법률
기타 법무관련 서비스업(노무사)	법률
기타 법무관련 서비스업(집행관)	법률
기타 보험 및 연금관련 서비스업	보험대리
기타 부동산 개발 및 공급업	토지임대
기타 부동산 임대업	토지임대
기타 부동산 임대업(자기땅)	토지임대
기타 부동산 임대업(타인땅)	토지임대
기타 부정기 여객 육상 운송업	버스
기타 비알코올 음료점업	디저트
기타 수상오락 서비스업	오락실
기타 스포츠 교육기관	스포츠교실
기타 신선식품 및 단순 가공식품 소매업, 기타 가공식품 소매업	식품
기타 여행 보조 및 예약 서비스업	여행사
기타 예술학원	학원
기타 오락장 운영업	오락실
기타 외국식 음식점업	외국식
기타 운송장비 임대업	렌터카
기타 유사 여가관련 서비스업	오락실
기타 음ㆍ식료품 위주 종합 소매업	슈퍼마켓
기타 의복 소매업	의류
기타 일반 및 생활 숙박시설 운영업	생활숙박
기타 자동차 신품 부품 및 내장품 판매업	부품
기타 주점업	주점
기타 중고 상품 소매업	중고
기타 해상 운송업	화물
기타모집수당,채권회수수당	인적용역
기타물품운반원	택배
김밥 및 기타 간이 음식점업	분식
꽃꽂이교사	인적용역
낚시장 운영업	낚시
남자용 겉옷 소매업	의류
내항 여객 운송업	여객선
내항 화물 운송업	화물
노래 연습장 운영업	노래방
노인 양로 복지시설 운영업	요양원
노점 및 유사 이동 소매업	종합소매
녹음시설 운영업	음반
늘찬 배달업	택배
다단계판매원의후원수당	인적용역
담배 소매업	담배
당구장 운영업	오락실
대리운전기사	대리운전
대여제품 방문점검원	인적용역
대출모집인	인적용역
대형 마트	할인점
도로 및 관련시설 운영업	통행료
도서관 및 기록 보존소 운영업	도서
도시철도 운송업	지하철
독서실 운영업	도서
동물카페	동물카페
두발 미용업	헤어
라디오 방송업	방송
레크리에이션 교육기관	스포츠교실
마사지업	마사지
매트리스 및 침대 제조업	가구
면세점	면세점
모델	인적용역
모터사이클 및 부품 도매업	자동차
모터사이클 및 부품 소매업	자동차
모터사이클 수리업	정비
목욕관리사	목욕
무도 유흥 주점업	유흥주점
무도장 운영업	오락실
무선 및 위성 통신업	통신
무용 및 음악단체	공연
문구용품 및 회화용품 소매업	문구
미디어콘텐츠창작업	콘텐츠
미술학원	학원
민박업	펜션
바둑기사	인적용역
박물관 운영업	전시
반려동물장묘 및 보호 서비스업	반려장묘
반려용동물 및 관련용품 소매업	반려용품
방과후강사	인적용역
방사선 진단 및 병리 검사 의원	의원
방송 프로그램 제작업	영상제작
배우,탤런트등	인적용역
백화점	백화점
번역 및 통역 서비스업	통번역
법무사업	법률
벽지, 마루덮개 및 장판류 소매업	인테리어
변리사업	법률
변호사업	법률
보육시설 운영업	어린이집
보증보험업	손해보험
보험 대리 및 중개업	보험대리
보험설계사	인적용역
복권 발행 및 판매업	복권
볼링장 운영업	볼링
부동산 감정 평가업	부동산중개
부동산 중개 및 대리업, 부동산 분양 대행업	부동산중개
부동산 투자 자문업	부동산중개
비디오물 감상실 운영업	비디오방
비주거용 건물 개발 및 공급업	상가임대
비주거용 건물 임대업	상가임대
비주거용 건물 임대업(공유오피스 임대)	상가임대
비주거용 건물 임대업(공유오피스 전대)	상가임대
비주거용 건물 임대업(자기땅)	상가임대
비주거용 건물 임대업(점포, 자기땅)	상가임대
비주거용 건물 임대업(점포, 타인땅)	상가임대
비주거용 건물 임대업(타인땅)	상가임대
비주거용 부동산 관리업	상가임대
빵류, 과자류 및 당류 소매업	식품
사무용 기기 소매업	사무기기
사업 공제업	공제
사적지 관리 운영업	전시
사진 처리업	사진
사진기 및 사진용품 소매업	카메라
산업용 세탁업	세탁
상업용 사진 촬영업	사진
생맥주 전문점	주점
생명보험업	생명보험
서양식 음식점업	양식
서적 임대업	도서
서적, 신문 및 잡지류 소매업	도서
서적방문판매원,학습지방문판매원,화장품방문판매원,정수기방문판매원,자동차방문판매원,일반(기타)방문판매원	인적용역
섬유 원단, 실 및 기타 섬유제품 소매업	직물
성악가 등	인적용역
세무사업	회계
세무사업(기장대리), 기타 회계 관련 서비스업	회계
세탁물 공급업	세탁
셔츠 및 블라우스 소매업	의류
소파 및 기타 내장 가구 제조업	가구
소프트웨어프리랜서	인적용역
속옷 및 잠옷 소매업	의류
손해 사정업	손해사정
손해보험업	손해보험
송전 및 배전업	전기
수력 발전업	전기
수영장 운영업	수영
수의업	수의
숙박공유업	펜션
슈퍼마켓	슈퍼마켓
스키장 운영업	스포츠시설
스포츠 및 레크리에이션 용품 임대업	스포츠시설
스포츠 클럽 운영업	스포츠시설
시계 및 귀금속 소매업	귀금속
시계, 귀금속 및 악기 수리업	수리
시내버스 운송업	버스
시내버스 운송업, 시외버스 운송업	버스
시내버스 운송업, 시외버스 운송업, 택시 운송업	버스
시외버스 운송업	버스
식물원 및 동물원 운영업	공원
신발 소매업	신발
신선, 냉동 및 기타 수산물 소매업	수산물
신용카드 및 할부 금융업	카드
신용카드회원 모집인	인적용역
실내 경기장 운영업	경기관람
실외 경기장 운영업	경기관람
심부름용역원	퀵서비스
악기 소매업	악기
안경 및 렌즈 소매업	안경
안경, 사진장비 및 광학용품 도매업	안경
애니메이션 영화 및 비디오물 제작업	영상제작
앰뷸런스 서비스업	구급차
야영장업	캠핑
어린이통학버스기사	통학
여관업	모텔
여자용 겉옷 소매업	의류
여행사업	여행사
연극단체	공연
연료용 가스 제조 및 배관공급업	가스
연예보조서비스	인적용역
영상물 제공 서비스업, 오디오물 제공 서비스업, 데이터베이스 및 온라인 정보 제공업	콘텐츠
영화, 비디오물 및 방송 프로그램 배급업	영상제작
영화, 비디오물 및 방송 프로그램 제작 관련 서비스업	영상제작
영화관 운영업	영화관
예술품 및 골동품 소매업	전시
예식장업	예식
온라인 교육학원	학원
외국어학원	학원
외국인학교	교육기관
외항 여객 운송업	여객선
외항 화물 운송업	화물
요양병원	병원
욕탕업	목욕
운동 및 경기용품 소매업	운동용품
운송장비용 수소 충전업, 운송장비용 기타 가스 충전업	충전
운송장비용 주유소 운영업	주유
운전학원	운전학원
원자력 발전업	전기
위성 및 기타 방송업	방송
유사 의료업	대체의료
유선 방송업	방송
유선 통신업	통신
유아용 의류 소매업	의류
유원지 및 테마파크 운영업	테마파크
유흥접객원 및 댄서	인적용역
육류 소매업	정육
음료 소매업	식품
음료품배달원	택배
음반 및 비디오물 소매업	음반
음반 및 비디오물 임대업	음반
음악 및 기타 오디오물 출판업	음반
음악학원	학원
의료용 기구 소매업	의료기기
의류 임대업	의류
의복 및 기타 가정용 직물제품 수리업	수리
의복 액세서리 및 모조 장신구 소매업	액세서리
의약품 및 의료용품 소매업	약국
이동 음식점업	분식
이용업	헤어
인물 사진 및 행사용 영상 촬영업	사진
인테리어 디자인업	인테리어
일반 교과학원	학원
일반 교과학원, 음악학원, 미술학원, 기타 예술학원, 외국어학원	학원
일반 영화 및 비디오물 제작업	영상제작
일반 유흥 주점업	유흥주점
일반병원	병원
일반의원	의원
일식 음식점업	일식
자동 판매기 운영업	자판기
자동차 내장용 신품 전기ㆍ전자ㆍ정밀기기 판매업	부품
자동차 세차업	세차
자동차 신품 타이어 및 튜브 판매업	부품
자동차 신품 판매업	자동차
자동차 임대업(렌트카)	렌터카
자동차 전문 수리업	정비
자동차 종합 수리업	정비
자동차 중고 부품 및 내장품 판매업	부품
자동차용 전용 신품 부품 판매업	부품
자문,감독,지도료,고문료,교정료	인적용역
자연공원 운영업	공원
자전거 및 기타 운송장비 소매업	자전거
작가	인적용역
작곡가	인적용역
장례식장 및 장의관련 서비스업	장례
재보험업	손해보험
전기 판매업	전기
전기용품 및 조명장치 소매업	공구
전세버스 운송업	버스
전자 게임장 운영업	게임장
점술 및 유사 서비스업	점술
제과점업	베이커리
조리 반찬류 소매업	반찬
종합 스포츠시설 운영업	헬스
종합병원	병원
주거용 건물 개발 및 공급업	주택임대
주거용 건물 임대업	주택임대
주거용 건물 임대업(장기임대공동·단독주택)	주택임대
주거용 건물 임대업(장기임대다가구주택)	주택임대
주거용 부동산 관리업	주택임대
주방용 및 음식점용 목재 가구 제조업	가구
주방용품 및 가정용 유리, 요업제품 소매업	주방용품
중고 가구 소매업	중고
중고 가전제품 및 통신장비 소매업	중고
중고 자동차 판매업	자동차
중고자동차판매원	인적용역
중식 음식점업	중식
증기, 냉ㆍ온수 및 공기 조절 공급업	난방
지상파 방송업	방송
직업운동가	인적용역
직원 훈련기관	교육기관
채소, 과실 및 뿌리작물 소매업	청과
철도 여객 운송업	철도
철도 화물 운송업	화물
철물 및 난방용구 소매업	공구
청소년 수련시설 운영업	스포츠교실
체력 단련시설 운영업	헬스
체육 공원 및 유사 공원 운영업	공원
체인화 편의점	편의점
체형 등 기타 신체 관리 서비스업	마사지
출장 음식 서비스업	출장뷔페
치과병원	치과
치과의원	치과
치킨 전문점	치킨
카지노 운영업, 기타 사행시설 관리 및 운영업	복권
커피 전문점	커피
컴퓨터 게임방 운영업	게임장
컴퓨터 및 주변 기기 수리업	수리
컴퓨터 및 주변장치, 소프트웨어 도매업	컴퓨터
컴퓨터 및 주변장치, 소프트웨어 소매업	컴퓨터
컴퓨터 학원	학원
퀵서비스배달원	퀵서비스
탐정 및 조사 서비스업	탐정
태권도 및 무술 교육기관	태권도
태양력 발전업	전기
택배업	택배
택시 운송업	택시
통신 재판매업	통신
통신기기 소매업	통신기기
통신장비 수리업	수리
특수 여객 자동차 운송업	택시
페인트, 창호 및 기타 건설자재 소매업	인테리어
풍력 발전업, 기타 발전업	전기
프로그램 공급업	방송
피부 미용업	피부
피자, 햄버거, 샌드위치 및 유사 음식점업	패스트푸드
학습지 방문강사	인적용역
학원강사,강사,과외교습자,재단사	인적용역
한방병원	한의원
한복 소매업	의류
한식 면 요리 전문점	한식
한식 육류 요리 전문점	한식
한식 일반 음식점업	한식
한식 해산물 요리 전문점	한식
한의원	한의원
항공 여객 운송업	항공
항만 내 여객 운송업	여객선
행사도우미	인적용역
호텔업	호텔
화가 및 관련예술가	인적용역
화력 발전업	전기
화장터 운영, 묘지 분양 및 관리업	장례
화장품, 비누 및 방향제 소매업	화장품
화초 및 식물 소매업	화훼
휴양 콘도 운영업	콘도
